1
71244822 4490
3077734 4635472 834465392
28703059 7702358 892970403
24568135 40640225 613479703
29890270 57823709 496969849
9187108 43043543 817094795
30877939 24048079 975844857
21877305 30012077 520177030
33659503 29102839 84018794
49387140 69015064 690426763
8729977 224924 958762862
34460131 52573042 626920595
55889096 10733480 770617646
18628546 46626219 989541961
2268933 37640215 780734434
11581942 47939586 967693595
33046710 4268299 564672559
52036301 10837108 395308406
11083788 14498987 599156426
6288827 18361946 213673121
69135408 69708903 959769275
43399798 60897078 421182555
57643652 29465588 149476031
27621842 27353111 264621910
23683324 59404104 483048164
6243235 61259291 4100597
21244315 26441379 698408112
43065446 36182494 372274982
21414022 7252892 107184414
56204205 16042405 537100395
156965 53317242 95863338
65287776 6108505 816965513
60426705 70793415 468236197
45209351 40898341 473231305
25753300 55671334 955483066
59591221 59582793 32087691
18858287 25765404 594530775
65698310 22316559 886174825
16365048 20336584 473620132
29634798 28628957 427556765
46046930 64496297 43492972
32136487 54908819 798267107
57295459 26665639 349547280
29101324 62662910 198997696
53092406 65660439 336922547
18572236 62699035 607763096
54390328 23423926 783249271
26754455 462988 747393474
15873953 70214170 768144506
11780624 15535600 216492704
40113204 3107388 749978242
34499910 13193163 665680742
24712515 46052771 938651039
41194430 5258973 95319988
67019747 43989873 691402083
22622003 27790516 911606418
64056662 25916420 400972751
3377697 25456895 708483343
9550534 17889361 224582053
1419997 25254847 738973087
35490991 26572468 274328223
69720639 31336041 967400369
42841427 33968843 38515668
35011134 9188718 577679972
68212132 66116877 428405910
5796564 33285108 968315991
44314709 38038252 541997216
34125016 12857499 733691252
27691500 6466973 672920363
49618317 2384109 272294904
54410049 52790183 523196336
52019403 37546447 850930056
29389169 20279539 591456513
41498893 9285013 924809871
37392953 66485987 330088487
41544924 3227730 705260846
44642187 12794251 380810125
44115659 30727225 423242071
68783314 52457699 376718629
61347894 61739987 661294065
68740465 51487732 100890041
41975815 64687719 892266179
35199284 40646616 698777933
7646289 47492207 844828723
64514377 38923965 933689792
70243837 18116555 9836318
48039112 38715396 518870188
60652583 43410969 774026071
42055152 29043150 729704704
9045408 32400932 117536310
54678232 5887529 569965590
7101054 41018851 254603155
36950847 13421255 520263665
1710890 9004902 867098284
64532615 20363124 700390757
37087135 53679023 828372792
28714374 16365540 736896737
42304935 47563111 479822040
28190359 67625029 54261581
30489174 29851061 551259337
34330305 22091158 58617883
2826472 66324297 179931498
9458068 27551757 969270269
24660898 44667284 140401395
15582335 19913690 466899542
59363161 9061114 800280356
13648768 48962637 779806863
29166744 59815408 653472701
65716002 22533136 820398513
45310202 12613209 817154220
59888319 52942995 541819901
7300562 52167382 618726512
2718499 71127369 894625402
36590556 61360828 796504561
64383716 63566671 493174267
53982517 29191043 507394635
9633721 53613293 978302768
13786470 27376470 798420937
33939941 41823871 963595582
44765197 49184772 762459286
9926856 24190112 739609584
31705270 33853570 634144990
32463899 8011080 263466321
6898111 36870189 495092541
40148827 68688341 7621154
730072 15741065 33140418
26793078 45063782 345328200
57135002 55012925 951828495
46107153 383283 722984473
68551397 65806846 342364485
69054495 66778566 764870777
61076140 63620049 97123694
31051069 48404307 124094601
45868243 63194123 176544103
17798750 9523970 216807890
63267750 51783384 75131087
46232459 22202415 854206609
4765551 4709474 842631088
9229436 70002838 609770706
49193331 55252867 684672312
17726899 64104775 811274409
7562448 21538829 36157709
17587310 9461123 419886034
57790651 54902909 703223559
8738575 18878253 929255766
9005160 68953634 695879160
59957495 25475303 249440091
57822790 51835850 756067621
33107076 49130031 441555269
7467085 1303273 408102214
21365267 70579594 753236994
62619285 3865073 404165391
16888342 48798554 494307217
67894501 69864818 501517045
34912540 52389751 624667439
27131598 35960156 443045073
47648335 56056096 133657410
50070277 10311898 119439415
60969059 36942949 430453301
36840587 18924886 872826096
44750355 2055287 394110677
18228710 34836443 855472775
2040643 42060062 870551610
46723113 28883121 485701898
69344925 70819612 169595846
41378772 52864414 51685061
67304967 62536880 753059641
48285855 69344679 291181765
19443457 51062852 532421848
8145143 1334159 959383498
48087723 15693569 877449215
64214064 8371065 71051503
50087524 18054591 300901257
32182411 40354568 311151483
45283173 45875928 762094704
68379237 58122400 464668063
64475638 59172973 918019693
9726529 24947302 212024147
17882413 59448221 397036788
61380834 29506524 627950944
46399792 16268712 925382097
32362440 65651153 868389751
67963467 13789207 677758275
56081100 66466634 276803735
7254938 16572696 603279429
8622797 53241986 28764335
13956461 57704329 896694069
63528173 17067851 614143671
36511147 37913113 398455835
54047131 19079175 103544360
65178143 60866479 793123369
44610818 48008189 270222481
35194162 22811504 766394467
15353304 41801931 131928906
47968075 47717411 611978962
22088906 17553123 602202180
8030943 11966867 912813157
1460246 65988271 498838887
40132049 47837277 194159774
46706715 59065177 737294076
39020937 60280924 635003946
45589859 1463210 894383538
45885509 37188402 195544396
38439805 19033318 647735247
52520700 36538197 838128221
6948932 31100942 153793775
6202610 20591524 854550633
13556799 69694574 164101790
41970586 46949273 300444092
57198153 38438550 29705314
544411 29272156 229145179
65291351 47840859 475408916
4715612 58688793 269750350
15605816 51980023 655216195
68354496 56500213 244968866
66381072 44361132 926762384
6446126 19130497 289460701
60048936 20900813 959673592
36869648 39640113 48662573
53833716 54087838 959416775
11367436 67439663 264556004
30868000 30272693 798539910
12990326 5269257 234724636
59632120 8175486 454285120
51891569 40255639 376393245
52530783 51022038 58997964
70173816 43710500 403930998
29133082 70992894 320987606
62948918 8940583 597853199
2414978 58155508 244139939
69936938 44954383 904045505
4911026 65911748 385861659
58333015 22149960 885326395
27174190 10901738 665807778
7869034 26982085 285587425
55932436 10408244 516266787
42335398 181728 432920536
525792 70146905 393987875
57261578 56700844 278763827
21281741 57878755 645010901
13912629 2459558 548991015
57152227 1524678 996772649
18296307 11135936 143848578
13671156 302625 472780989
35135587 42732144 62402711
37757439 27141703 421179238
34695487 2548692 385298292
30346065 6582068 177637379
15489589 48753792 624649778
36886817 9239383 558803082
7619231 5936866 273188077
66679968 2705658 15385536
12940153 25131280 676355007
35762159 45198542 858648991
63266279 43854607 742470897
19189436 18122143 438484352
62477393 37705631 969943027
42811904 13721204 893894040
42268053 33661886 765149788
6934045 65537942 118118341
44819836 10429902 72283347
56123996 42628424 58757016
13172330 61437750 925285051
60777738 12074733 482766774
40875903 48330193 503827225
34959876 47204814 590663125
44948389 46962204 925132466
66988071 50300984 78018603
3517498 5029044 911267282
10649853 2655178 339514317
50085840 19860771 325600605
40590667 24674896 223833684
67161362 59711196 694145333
59833199 45980334 300405444
4510401 26002032 515215690
39954014 2762500 939332033
62343109 10084670 494982234
56758057 67614744 501593170
22530225 10342709 245175292
52727229 65750594 945578336
18524292 59281972 866162202
23657241 70536509 992444482
36233582 16948132 255315250
1564708 2881301 75948158
33584935 58804163 44528245
19371526 65563348 858277376
8137873 8661761 853859963
11834706 17678142 241593449
43110707 11823324 701189734
34950156 12337864 758009527
68414713 42835882 504158567
70616326 53533536 307819072
22677773 19849072 606010058
66362388 2132857 288002221
56120977 608362 32357142
47034125 63830604 832221562
35728179 55561551 905923120
16523379 1344867 709308171
24790172 6975315 19714121
70352883 29708239 537035681
57450554 35005641 421052066
40913249 33601683 533033882
8533113 21891319 28151994
60804128 71022795 446529430
33150542 65490129 455546746
66573924 15835119 387791598
14873949 51014629 688940417
36978130 43337553 204142098
21703373 44199115 195870141
13290808 58161831 457656807
53475139 61901074 98980969
46500056 68655905 385049532
42060575 59168330 735150367
59976737 62923318 700808857
49529170 26978098 703418401
2204167 10132283 780924664
40948044 48782519 790605538
60837106 69721935 507149670
62045504 61660703 78956999
30261346 136267 515551413
24252360 10317892 147128046
4988829 38127104 103380596
19139335 30590212 976741464
8141490 41406104 291226127
9392195 5683360 578456519
35272574 21620190 495578760
6643161 63760407 216611336
64820553 48017710 361355986
46127812 51961245 349838821
29052193 53341624 960558859
29700523 64693509 261029979
46057919 35533896 824695448
8206828 45884088 324294123
50263305 61193972 526255281
54232470 17393135 466275277
48550071 1391361 776249507
51569166 35000407 143599336
20101288 17506504 720347775
71237955 64128897 498177351
22545261 33156437 100655310
25944729 67162393 63735751
62173015 55714153 191764351
40279146 4295320 385855521
18439990 11528672 959551986
37347026 13703788 46143719
43554313 45054089 69419675
36816951 35465516 880454447
50252222 52419884 848536576
11762481 51597701 193847032
34761891 4585928 311351364
66130533 42698446 854941159
27447196 49471166 595154621
43800809 56405938 639116579
55008956 3447296 27648797
28576054 2674698 316463971
23602940 19082511 770954185
3687849 39737644 961155506
34744458 54158577 596225482
62934580 48088298 812630396
24581645 915631 186783050
39038285 36925505 496544113
46600503 11817687 580497045
27754541 38505798 969614750
24232447 10317831 266836223
10339152 51944219 259542328
27473285 21623135 197245668
55094226 9687204 544387574
30451959 25014699 688580374
31047468 14265921 530827370
62538488 13066911 906911011
29109452 43948184 174086804
47852178 36630708 930222686
24377568 55474922 86667622
69702462 39951789 925806291
10640682 51272428 129547995
7667354 63243786 769341900
45190126 38770170 46861013
63041296 21268803 511375361
2736147 4769453 72074868
12681591 60379065 637769330
67529357 30127400 829922609
43381420 14753688 67037938
18215440 4421204 370466962
70330547 32754538 777828088
10167270 49695747 123498571
48125656 1628721 217405712
16355280 55335927 111032788
20902348 1154906 560233086
66974097 58429588 292636727
12973671 61007639 808473581
33915171 54304160 693998401
22769898 44024193 933426366
18520374 14850597 599867529
52940371 18768114 497801790
14249407 69573684 304780984
59744244 21154045 277961660
60571823 34931219 666879899
36671892 13463124 250246480
48470303 71157516 697314793
67261867 54222573 769077041
3159434 29645289 813943244
70424299 39069942 539832000
4460237 41384123 757590645
17460101 33571297 491885523
70522960 19731162 179218974
1498845 20425690 214922167
47316336 6953243 647614214
51944721 27588751 428068953
19719871 3565298 234281722
26442600 49825672 907641349
30778572 9023402 11891638
69299131 57563178 813700485
20402142 68477041 177022003
49644673 2284388 413442765
7264090 54612590 742272530
47557614 28216098 337109661
151431 50496406 599779357
46476484 32823750 931377141
48337695 38521232 966560029
54060920 61306626 714828703
1794540 29215347 177657365
67864540 5940477 515903662
70944753 61587111 19719533
68753687 20084919 507700771
10909099 27093098 47461216
48684108 69366431 167757929
60499484 28915299 513536737
