4
1000000000 5
1 1 1000000000
1 2 1000000000
1 3 1000000000
2 3 1000000000
4 2 101000
100000 5
1 5 100000
5 2 100000
1 4 194337
1 3 239833
2 5 999999
2000 5
2 3 437
2 5 2892
2 4 1283
2 1 1000
1 9 1000
100 4
1 2 100
1 3 100
2 4 100
2 5 100
2158087 2597
900032 1699905 506041132
274086 1420469 903371689
810173 434286 952285665
1051113 535780 231421082
1428976 2018074 702037887
118605 2096937 647109167
115770 1840326 420299534
1969454 370298 341756029
787273 1365437 717638531
1257101 437333 515411110
297661 911787 343252394
2015220 1272141 68451988
371116 359404 467990397
364511 710466 735104292
886697 618574 275849489
551450 431392 341084566
1485756 2015650 71543179
1901803 905982 19065418
1203771 430700 294371971
961695 634291 186790584
1377162 1147452 617496989
475159 1633509 238525413
1685392 695739 733430251
1514572 809641 483298523
2135897 56179 562950238
946378 226558 206830436
1622118 354300 998955971
1061145 1204280 601431306
395731 405941 140299576
1301512 1617892 145739368
199879 745499 59774851
1551120 1137079 834086434
1115182 1595556 890416685
1308854 1808311 635023490
1817599 1781651 272904530
1143845 830999 951479181
1999286 573343 298438488
1593775 504264 24307040
1985777 832130 420967556
1296273 1774672 961560798
185946 340953 343837151
434324 1426877 608312062
468976 2028638 374550809
1359113 887720 460813621
452697 193843 785305082
704069 1582238 490599410
274490 407566 744778709
1484980 2041029 496072485
1708432 1892757 334697687
600102 1554864 216167709
927542 1991510 645040080
498023 241945 397670743
2129529 1236045 46057028
2123908 1058537 741567520
647881 454529 65304496
1455209 1596277 828594536
580199 1002022 424603200
1069379 2044797 72759449
156663 1682649 601636277
280810 51253 884876153
55549 565610 457798133
37482 899976 831170113
328985 148910 136210382
183481 1405348 864983391
2025571 761549 978661724
766025 1800387 395963190
23798 991887 275312184
1864340 358296 483495168
1430437 2039064 683444155
91009 871543 898487958
932349 249679 927617599
806293 29111 316788238
1685349 556445 264487467
966302 581222 80245980
1367200 208321 434577164
1204026 449332 124996122
892854 914193 597910332
1787629 1481867 337848845
1857090 1121805 256310487
1253401 939147 127693236
382874 606038 791499339
1357733 997607 108523539
1073660 353521 720173103
1853876 2055865 144011129
1027993 175726 976806271
1315351 251462 18590305
1194997 1684871 918979637
568207 570834 943649964
1083149 1156271 878096813
1362145 1678765 707599926
1926816 14478 331218257
115686 944369 385633070
435611 783838 553455019
1624071 1353179 892599748
1070156 410378 622185725
148998 1734401 448162151
104264 705493 514789395
1936695 720203 516335229
744330 174957 777828695
1118180 112324 420764724
161786 1699021 542125512
247564 91810 69836990
191331 731278 644633746
2039217 522771 317723652
742488 1455363 69189237
462410 746501 162729600
1959467 527581 362456998
1856569 832934 138182369
1290627 257746 195729792
117593 1742664 605243867
5060 868979 4524413
1901887 1247388 870425099
1510550 466993 417952612
1346265 1899830 688108496
1920679 673016 954317853
72556 544549 703842047
1757228 914832 974714743
17129 989534 360295665
1761262 1217939 443116640
131897 416738 409565837
92491 1812454 127208006
1333128 1757072 656066349
91194 1494875 922139473
1335410 354772 847276562
701922 1955334 485869031
1593559 1362559 124795786
761669 1486491 365678928
1051988 798910 346945241
595155 1382854 952155002
1016627 475282 820769636
1868917 1560596 607836329
113385 547438 949483674
778955 1762345 706957277
1891936 1299690 452158221
1188113 1753343 135506062
173409 448884 52478442
1534611 384420 964455406
1910044 278568 273978088
1401610 1690192 90705675
443250 1819996 322379972
1223449 61016 154117764
64344 1988403 378902576
722592 1421710 731534629
1115498 10941 333808074
1419700 243510 360983945
1622204 712273 961824553
1621803 1294387 964337312
7036 1290549 56014184
2066201 729866 897092508
1552206 1011319 846994921
23866 1491040 716507530
190433 26230 818378003
1617771 415353 698041753
164289 1350497 768296484
615289 1630405 449841105
882347 457394 429309578
1879663 378020 636975388
497991 125903 294949275
1249597 186335 129621375
1009603 987957 343329132
9822 758921 759050272
1218227 1833608 676072895
1504479 1593705 231745587
1789102 1778059 807579236
1913087 51858 386570050
545064 2023211 516326422
1937321 1954333 23821935
1765250 2052448 165770278
346141 268127 358752117
260972 1942556 705809755
1911563 1513751 639383336
1578045 1024100 652233844
1997240 144371 832876582
1750942 619294 562371271
1120120 1480900 84955060
180255 1299578 383686422
190140 85180 864832806
1479973 683808 119728690
1477398 808735 127912271
313852 1278485 631441293
1828126 1385370 221532151
1747453 60811 415843698
526299 1392951 971116634
746787 212597 241241489
1524150 1916865 89887353
59805 1771482 279961592
1909728 1004469 146355401
184311 1237228 950091654
534024 778517 721174337
1051351 1589999 152253173
17307 694741 477994674
2101082 653257 559275264
1723766 2092361 82127703
1454652 244318 150540823
1009676 563933 868438235
320357 1593409 351257499
902187 698328 746567646
1371547 659561 686960408
576756 1853260 572145906
2104224 2007484 924390918
311206 229627 861242495
1185819 874237 408345176
1836412 1136654 864799374
1193121 2058269 62156990
1702233 1203013 191895696
693260 561265 629854982
627220 993900 702029095
963088 2108644 349887637
931025 1094483 994778054
50628 1285614 684577710
573814 2146134 195532222
1122640 1135241 734469798
669496 1932377 876226285
1017957 312514 330750777
1484774 17019 357187157
489247 1953843 400573473
2067976 2082633 333632301
783146 1029737 140207437
1549118 1442953 259935773
358918 1865459 81564741
1419082 1860830 914702706
989454 1720421 325997052
143077 2053728 337173025
1549618 1597402 371895446
932531 216547 371847760
1804497 1412216 211238989
2099918 1541763 20125990
2038685 441396 487582173
866236 959892 443393714
50158 1854790 424161335
703326 1219107 630120930
1932574 1172780 375321679
959130 725685 329582753
1977120 1984210 403084025
1669491 1902721 955476608
701709 1373420 18390553
952606 1750126 500000421
1788564 929640 17977657
203835 684411 927721822
477090 1443486 113193849
1555774 572486 564976564
539655 826727 754502890
887623 300236 52702189
1431877 1740488 797245020
982693 1012325 644500579
168543 1899220 737369061
1976519 1878154 982202471
653875 1557115 595279723
778025 646401 806273526
643954 1364958 662073487
789944 411924 903177203
1984215 2126265 462686045
1121423 1194036 849283791
461583 200344 242092261
1891760 1045900 61407753
270639 298129 588441836
1126788 1005667 543950686
1949722 1613682 754070652
834683 1535130 140984636
428033 1390217 678241193
1678650 341015 767798898
541329 1640313 600899583
1744259 576311 618957419
496591 938306 447865018
1416274 1183805 983085811
646198 974288 358758433
1156722 1411479 888489841
2056333 939885 775956020
890001 808372 790050960
1324846 751242 174346200
2119889 331519 976348228
1195756 886732 257879532
609411 782240 734070409
1343401 1117926 635459466
1081689 1098954 964976993
1642833 1764458 270930552
2025297 949254 481602707
1849312 1031592 406490709
1184707 665785 397405379
2104080 947098 463858271
1064247 1705639 74920263
1217942 1041432 639716860
1167453 940676 242705805
1341012 1618565 976113782
1377435 1330148 146681061
1105871 51439 226308611
1776982 2149616 608711998
2017064 1042694 663440314
801073 1452343 415327786
1754550 1256148 379665250
1178197 756967 501237121
483677 1265407 261104608
424789 2027105 887174711
673536 2045479 412540078
76020 552081 544378077
1616702 1436681 401938672
1355253 1567583 250496720
1953103 516212 141603094
862770 540164 734892853
1883513 301191 578119242
871623 237020 480376722
1832957 1099501 419065495
963808 1323495 477062633
980635 490385 7879102
1019101 2083515 340367875
517484 674262 737256379
1519322 273212 581378651
1828013 455465 699736722
